Nombre Estacion	Nro Estacion	Año	Mes	Dia	Temperatura media diaria	Cant obs. 1	Temperatura de rocio	Cant obs. 2	Presion reducida al nivel medio del mar (hpa)	Cant obs. 3	Presion al nivel de la estacion (hpa)	Cant obs. 4	Visibilidad en km	Cant obs. 5	Viento medio (m/s)	Cant obs. 6	Máximo viento sostenido (m/s)	Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Total precipitation en mm	Neblina	Lluvia o llovizna	Nieve o agua nieve	Granizo	Tormenta	Cluster_SOM_1
Azul_Aero	876410	2013	2	5	21,7	8	10,1	8	1014,7	8	997,6	8	15,6	8	3	8	3,6	29,6	10	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	6	23,3	8	13	8	1016,5	8	999,4	8	19,3	8	3,2	8	5,7	30,7	12,3	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	7	23,3	8	13,9	8	1017	8	1000	8	15,6	8	3	8	4,6	30,7	13,8	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	8	23	8	15,9	8	1014,2	8	997,2	8	14,2	8	2,8	8	4,6	30,5	13,4	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	9	22,7	7	14,8	7	1011,9	7	994,9	7	13,7	7	3,8	7	5,1	31,2	13,1	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	2	10	24,9	8	18,7	8	1008	8	991,2	8	12,9	8	3,6	8	4,6	32,4	17,5	0	1	0	0	0	0	c_som_3_1
Azul_Aero	876410	2013	2	11	24,1	8	18,7	8	1006,8	8	990	8	13,2	8	2,3	8	5,1	33,4	18	38,1	0	1	0	0	1	c_som_1_5
Azul_Aero	876410	2013	2	12	23,6	8	15	8	1002,9	8	986,1	8	15	8	3,1	8	4,6	31,5	18,5	0	0	0	0	0	0	c_som_3_4
Azul_Aero	876410	2013	2	13	20,9	8	10,9	8	1006,9	8	989,9	8	15,6	8	2,6	8	4,1	30,3	10,1	1	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	14	20,7	8	12,4	8	1011,3	8	994,2	8	14,8	8	2,8	8	4,6	30,6	10,6	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	15	25	8	15,8	8	1010,5	8	993,6	8	14,2	8	3,5	8	5,1	32,3	12	0	0	0	0	0	0	c_som_3_5
Azul_Aero	876410	2013	2	16	25,8	8	16,9	8	1005,1	8	988,3	8	14,3	8	5,1	8	7,7	32,5	17,3	0	0	0	0	0	0	c_som_3_4
Azul_Aero	876410	2013	2	17	20,9	8	14,4	8	1006,1	8	989,2	8	14,5	8	4,4	8	7,7	32,8	18,4	0	0	1	0	0	0	c_som_3_4
