Nombre Estacion	Provincia	Fecha	Estacion	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	Cluster_SOM_1
San_Rafael_Aero	Mendoza	10318	Verano	15,2	12,1	1018,5	933	15,6	2,8	5,1	20,3	12	1	0	0	0	c_som_3_1
Rio_Gallegos_Aero	Santa_Cruz_S	10318	Verano	11,7	7,2	1014,6	1012,3	8,4	1,4	4,1	22	4	1	0	0	0	c_som_2_2
La_Rioja_Aero	La_Rioja	10318	Verano	19,6	12,6	1016,5	967,3	18,8	2,3	4,1	21,6	16,2	0	0	0	0	c_som_3_1
San_Julian_Aero	Santa_Cruz_E	10318	Verano	14,7	9,6	1015,6	1008,1	29,1	2,8	6,2	22	6,7	0	0	0	0	c_som_1_1
Rio_Cuarto_Aero	Cordoba_S	10318	Verano	14,4	9,6	1021,7	972	12,1	7	9,3	19,4	11	0	0	0	0	c_som_3_1
Sauce_Viejo_Aero	Santa_Fe	10318	Verano	18,3	11,2	1022	1019,9	12,1	2,2	3,1	24,2	12,7	0	0	0	0	c_som_3_2
Ezeiza_Aero	Buenos_Aires_NE	10318	Verano	15,5	9,7	1025,8	1023,5	10,1	3,9	7,2	23	9,7	0	0	0	0	c_som_2_2
Viedma_Aero	Rio_Negro_E	10318	Verano	17,3	6,5	1024,1	1023,3	29,9	4,6	7,2	23,4	10,9	0	0	0	0	c_som_1_1
Santa_Rosa_Aero	La_Pampa	10318	Verano	14,3	8,1	1023,5	1000,5	28,2	4,6	8,2	22	6,8	0	0	0	0	c_som_1_1
El_Bolson	Rio_Negro_O	10318	Verano	14,9	9,6	1017,6	977,5	29,9	0,8	3,1	22,7	4,5	0	0	0	0	c_som_1_1
Mar_Del_Plata_Aero	Buenos_Aires_E	10318	Verano	11,6	8,1	1028,5	1025,9	10,3	3,3	7,7	19	1,4	0	0	0	0	c_som_2_2
Villa_Dolores_Aero	Cordoba_O	10318	Verano	17,5	11,5	1019,5	953,9	29,9	1,6	3,6	23	11,8	0	0	0	0	c_som_3_1
Corrientes_Aero	Corrientes	10318	Verano	19,9	14,5	1017	1009,7	10,3	4,4	6,7	25	17	0	0	0	0	c_som_3_2
Pilar	Cordoba_C	10318	Verano	15,7	9,5	1023,2	983,2	12,9	1,4	4,1	21,6	9	0	0	0	0	c_som_2_2
Rosario_Aero	Santa_Fe	10318	Verano	17,6	10,6	1023	1020	11,9	4	5,7	23,1	13,1	0	0	0	0	c_som_3_2
Presidencia_R_S_Penia_Aero	Chaco	10318	Verano	19,4	14,1	1017,4	1006,6	20	5,5	8,7	25,4	15,6	0	0	0	0	c_som_3_2
La_Plata	Buenos_Aires_NE	10318	Verano	16,2	10,3	1025,6	1022,8	9,5	4,2	7,2	21,3	9	0	0	0	0	c_som_2_2
Cordoba_Aero	Cordoba_C	10318	Verano	14,9	9,9	1022,4	964,3	10,9	1,9	5,1	21	7,7	0	0	0	0	c_som_2_2
Azul_Aero	Buenos_Aires_C	10318	Verano	11,2	6,6	1027,3	1009,3	15	3,2	5,7	20,2	1,7	0	0	0	0	c_som_2_2
Catamarca_Aero_II	Catamarca	10318	Verano	19,1	10,7	1015,9	963,8	20	6,8	10,3	25,3	14,9	0	0	0	0	c_som_3_1
Dolores_Aero	Buenos_Aires_E	10318	Verano	13,1	10,7	1028,1	1027	10	2,5	5,1	19,7	8,4	0	1	0	0	c_som_2_2
San_Luis_Aero	San_Luis	10318	Verano	17,4	10,5	1018,1	936,9	20	2,4	4,6	21,5	11,8	0	0	0	0	c_som_3_1
Ushuaia_Aero_II	Ushuaia	10318	Verano	11,2	7,1	1012,2	1005,3	17,7	2,5	7,7	17,6	6,9	0	0	0	0	c_som_2_2
Esquel_Aero	Chubut	10318	Verano	14,7	6	1016,1	925,2	29,9	2,3	5,1	22,3	5,2	0	0	0	0	c_som_2_1
Ceres_Aero	Santa_Fe	10318	Verano	17,7	11,1	1021,4	1010,9	16,3	4	5,1	23,4	12	0	0	0	0	c_som_3_2
Oran_Aero	Salta	10318	Verano	18,1	16,1	1016	975,2	6,4	2,1	3,1	21,4	15,5	0	1	0	0	c_som_3_2
Bahia_Blanca_Aero	Buenos_Aires_C	10318	Verano	13,6	3,3	1025,4	1015,4	15	3,9	6,2	25,6	4,4	0	0	0	0	c_som_2_2
Mendoza_Aero	Mendoza	10318	Verano	18,2	11	1016	936,6	12,6	1,4	3,1	21,6	12,8	0	0	0	0	c_som_3_1
Formosa_Aero	Formosa	10318	Verano	21,2	16,8	1015,4	1008,5	14	4	6,2	25,3	17,8	0	0	0	0	c_som_3_2
San_Antonio_Oeste_Aero	Rio_Negro_E	10319	Verano	20,3	11,5	1019	1016,7	29,9	8,3	12,3	24,9	8,8	0	0	0	0	c_som_1_1
Villa_Reynolds_Aero	San_Luis	10319	Verano	16,9	10,7	1017,1	960,9	14,6	3	6,2	24,1	9,6	0	0	0	0	c_som_3_1
Monte_Caseros_Aero	Corrientes	10319	Verano	18,6	16,1	1016,6	1010,1	7,2	2,6	3,1	25	16,5	0	1	0	0	c_som_3_2
Trelew_Aero	Chubut	10319	Verano	20,7	7,3	1013,4	1008,4	29,9	8,4	12,3	28,6	14,8	0	0	0	0	c_som_1_1
Dolores_Aero	Buenos_Aires_E	10319	Verano	15,9	13,3	1024	1022,9	9,5	2,7	5,1	20	10	0	0	0	0	c_som_2_2
Oran_Aero	Salta	10319	Verano	18,7	16,3	1013,6	972,7	8,2	1,5	3,1	22,4	16,2	0	1	0	0	c_som_3_2
Rosario_Aero	Santa_Fe	10319	Verano	19,1	13,4	1018,8	1015,2	11,7	4	6,7	23,7	13,4	0	1	0	0	c_som_3_2
Mendoza_Aero	Mendoza	10319	Verano	19,2	11,3	1013,6	934,5	11,6	1,1	3,6	24	15	0	1	0	0	c_som_3_1
La_Plata	Buenos_Aires_NE	10319	Verano	18,4	15,2	1021	1018,3	10	6,1	8,7	22	10	0	1	0	0	c_som_3_2
Rio_Gallegos_Aero	Santa_Cruz_S	10319	Verano	13,1	6,8	1004,2	1001,9	15,8	0,9	3,1	22	6	0	0	0	0	c_som_2_2
Iguazu_Aero	Misiones	10319	Verano	21,8	18,8	1013,5	982,5	11,6	2,8	5,1	25,8	18,7	0	0	0	0	c_som_3_2
Sauce_Viejo_Aero	Santa_Fe	10319	Verano	18,2	13,9	1017	1014,9	11,4	2,5	4,6	24,6	15,2	0	1	0	0	c_som_3_2
Gualeguaychu_Aero	Entre_Rios	10319	Verano	19,1	14,1	1018,2	1015,5	15	2,9	6,2	23,5	14,6	0	0	0	0	c_som_3_2
La_Rioja_Aero	La_Rioja	10319	Verano	21,1	13,2	1014	965	19,5	1,6	2,1	24	16,4	0	0	0	0	c_som_3_1
Ezeiza_Aero	Buenos_Aires_NE	10319	Verano	18,3	14,1	1021,3	1018,9	10,5	5	8,2	23	14	0	1	0	0	c_som_3_2
Pilar	Cordoba_C	10319	Verano	17,3	11,7	1018,7	979,2	20	0,4	1	22,4	11,9	0	0	0	0	c_som_3_2
Chamical_Aero	La_Rioja	10319	Verano	19,8	11,9	1015,4	962,4	20	0,9	2,1	22,8	15	0	0	0	0	c_som_3_1
Concordia_Aero	Entre_Rios	10319	Verano	18,2	15,3	1016,9	1012,4	12,7	4,1	6,2	24,6	16	0	1	0	0	c_som_3_2
Santiago_Del_Estero_Aero	Santiago_Del_Estero	10319	Verano	20,4	12,4	1016	992,8	14,6	1,1	3,1	24,7	15	0	0	0	0	c_som_3_2
Reconquista_Aero	Santa_Fe	10319	Verano	18,4	17,6	1014,8	1008,5	5,6	3,3	5,7	23,5	17,4	0	1	0	0	c_som_3_2
Presidencia_R_S_Penia_Aero	Chaco	10319	Verano	18,7	16,8	1014	1003,2	15,9	3,6	5,7	22,4	16,7	0	1	0	0	c_som_3_2
Mar_Del_Plata_Aero	Buenos_Aires_E	10319	Verano	15,4	11,7	1024,7	1022,2	10	4,2	8,2	20	7,6	0	0	0	0	c_som_2_2
Resistencia_Aero	Chaco	10319	Verano	20	19	1013,1	1006,9	5,8	2	6,2	24,9	18,4	0	1	0	0	c_som_3_2
Formosa_Aero	Formosa	10319	Verano	22,2	20,6	1012	1005	12,2	2,1	10,8	25,6	19,4	0	1	0	0	c_som_3_2
Junin_Aero	Buenos_Aires_N	10319	Verano	16,9	11,9	1019,2	1009,5	9,8	4,1	7,2	23	10	0	0	0	0	c_som_2_2
San_Juan_Aero_II	San_Juan	10319	Verano	20,9	9,6	1013,4	945,8	15	3,4	7,2	26,7	13,6	0	0	0	0	c_som_3_1
Catamarca_Aero_II	Catamarca	10319	Verano	20,1	11,3	1013	961,1	20	3,7	7,2	25,4	16,9	0	0	0	0	c_som_3_1
Cordoba_Aero	Cordoba_C	10319	Verano	16,7	11,6	1018	960,5	10,9	1,5	3,6	21,5	12,8	0	1	0	0	c_som_3_1
Villa_Dolores_Aero	Cordoba_O	10319	Verano	18,7	11,3	1016,7	951,7	29,9	1,6	3,6	24,9	12,5	0	0	0	0	c_som_3_1
Neuquen_Aero	Neuquen_E	10319	Verano	18,4	10,7	1016,6	984,7	12,4	1,4	4,1	27	10	0	0	0	0	c_som_3_2
Laboulaye_Aero	Cordoba_S	10319	Verano	17,3	11,1	1018,5	1002,2	10	1,5	5,1	24,2	11,6	0	0	0	0	c_som_3_2
Tucuman_Aero_II	Tucuman	10319	Verano	17,7	14,6	1015,7	964	10,6	2,2	4,6	22	15	0	0	0	0	c_som_3_1
Rio_Cuarto_Aero	Cordoba_S	10319	Verano	16,4	10,1	1017,7	968,6	12,1	5	9,3	21,1	12	0	0	0	0	c_som_3_1
San_Julian_Aero	Santa_Cruz_E	10319	Verano	20,6	1,3	1004,2	996,9	29,9	5,6	9,3	27	9,7	0	0	0	0	c_som_1_1
Ceres_Aero	Santa_Fe	10319	Verano	19,9	14,3	1016,3	1006	16,3	3,3	4,6	24,4	15,4	0	0	0	0	c_som_3_2
Ushuaia_Aero_II	Ushuaia	10319	Verano	14,8	7,8	999,9	993,1	18,3	3,8	10,3	19,6	8,6	0	0	0	0	c_som_1_2
Marcos_Juarez_Aero	Cordoba_E	10319	Verano	17,6	12,5	1018,9	1005,4	20	4	5,1	23,9	12,2	0	0	0	0	c_som_3_2
Aeroparque_B_Aires_Aero	Buenos_Aires_NE	10319	Verano	19,7	14,8	1020,6	1019,9	10,6	7,5	10,3	23	17,8	0	0	0	0	c_som_3_2
Paso_De_Los_Libres_Aero	Corrientes	10319	Verano	17,9	16,6	1015,2	1006,9	8	7,5	10,3	23,5	16	0	1	0	0	c_som_3_2
Posadas_Aero	Misiones	10319	Verano	21,3	18,7	1014,3	999,8	12,4	2,9	4,1	28,3	19,2	0	1	0	0	c_som_3_2
Corrientes_Aero	Corrientes	10319	Verano	19,7	18,9	1012,8	1005,4	6	2,5	5,1	24,6	18	0	1	0	0	c_som_3_2
San_Rafael_Aero	Mendoza	10319	Verano	17,9	10,8	1015,3	930,5	20	1,9	5,1	24,2	12,4	0	1	0	0	c_som_3_1
Azul_Aero	Buenos_Aires_C	10319	Verano	14,8	11,4	1023	1005,3	15	4,9	8,7	21,2	9,5	0	0	0	0	c_som_2_2
Santa_Rosa_Aero	La_Pampa	10319	Verano	15,7	9,6	1019,6	996,9	28,3	4,1	6,7	22,7	8,3	0	0	0	0	c_som_1_1
San_Luis_Aero	San_Luis	10319	Verano	17,9	11,9	1015,5	934,7	20	1,9	3,1	22,4	14,2	0	0	0	0	c_som_3_1
Viedma_Aero	Rio_Negro_E	10319	Verano	18,7	9	1018,8	1017,9	29,9	4,3	5,7	24,5	12	0	0	0	0	c_som_1_1
Tandil_Aero	Buenos_Aires_C	10319	Verano	14,6	11,2	1023,4	1002,5	16,9	4,4	7,7	20	7	0	1	0	0	c_som_2_2
Bahia_Blanca_Aero	Buenos_Aires_C	10319	Verano	17,1	8	1021,1	1011,2	15	3,7	7,7	25	10	0	0	0	0	c_som_2_2
General_Pico_Aero	La_Pampa	10319	Verano	16,3	11,4	1019,1	1001,9	18,8	2,3	4,1	23,4	10,8	0	0	0	0	c_som_2_2
Esquel_Aero	Chubut	10319	Verano	14	6,8	1011,7	921,1	29,9	2,4	7,2	21,8	7,4	0	0	0	0	c_som_2_1
Comodoro_Rivadavia_Aero	Chubut	10319	Verano	20,2	11	1008,7	1003,3	15,6	3	7,7	28	13,2	0	0	0	0	c_som_3_2
Concordia_Aero	Entre_Rios	10320	Verano	18,8	17,9	1009,1	1004,7	10,6	3,1	6,7	20,4	16	0	1	0	0	c_som_3_2
General_Pico_Aero	La_Pampa	10320	Verano	17,8	13,5	1012,7	995,9	14,5	0,6	2,1	24,6	11,8	1	0	0	0	c_som_3_2
Sauce_Viejo_Aero	Santa_Fe	10320	Verano	19,9	17,2	1010,8	1008,7	11,3	2,4	3,6	24	16,4	0	1	0	0	c_som_3_2
Corrientes_Aero	Corrientes	10320	Verano	20,1	18,7	1009,1	1001,8	7,7	2,8	5,1	25	18	0	1	0	0	c_som_3_2
Marcos_Juarez_Aero	Cordoba_E	10320	Verano	19,1	16,2	1013,6	1000,2	16,3	2,6	4,1	24	14,2	1	0	0	0	c_som_3_2
Posadas_Aero	Misiones	10320	Verano	21	19,3	1009,3	994,7	11,7	2,2	7,7	25	17,5	0	1	0	0	c_som_3_2
San_Antonio_Oeste_Aero	Rio_Negro_E	10320	Verano	21,8	10,8	1009,8	1007,5	29,9	8,4	10,3	27,4	13	0	0	0	0	c_som_1_1
Ezeiza_Aero	Buenos_Aires_NE	10320	Verano	19,3	16,9	1013,7	1011,3	9,8	4,6	7,7	23	16,5	0	1	0	0	c_som_3_2
Viedma_Aero	Rio_Negro_E	10320	Verano	20,9	12,6	1009,7	1008,9	29,9	5,1	6,2	26,6	14,4	0	0	0	0	c_som_1_1
Resistencia_Aero	Chaco	10320	Verano	19,4	18,6	1009	1002,9	5,6	3,2	4,1	23,3	17,9	0	1	0	0	c_som_3_2
Mendoza_Aero	Mendoza	10320	Verano	19,7	10,3	1009,2	930,5	11,4	1	3,6	28	13	0	0	0	0	c_som_3_1
Pilar	Cordoba_C	10320	Verano	17,7	12,4	1013,1	973,8	15,6	0,6	1	25	10,4	0	0	0	0	c_som_3_2
Bahia_Blanca_Aero	Buenos_Aires_C	10320	Verano	17,6	10,8	1014	1004,2	15,4	4,4	8,2	26,6	11,2	0	0	0	0	c_som_3_2
Cordoba_Aero	Cordoba_C	10320	Verano	16,7	11,4	1012,8	955,5	10,3	2,1	3,6	25	9,4	0	0	0	0	c_som_3_1
San_Luis_Aero	San_Luis	10320	Verano	19,6	10,6	1010,8	930,6	20	2,2	4,1	26,1	13,6	0	0	0	0	c_som_3_1
Tandil_Aero	Buenos_Aires_C	10320	Verano	17,4	15,7	1015,4	994,9	9,7	3,9	6,7	23,9	14,6	0	1	0	0	c_som_3_2
Tartagal_Aero	Salta	10320	Verano	20,6	15,4	1009,7	959,1	10	1,2	5,1	26,5	16,2	0	0	0	0	c_som_3_1
Neuquen_Aero	Neuquen_E	10320	Verano	20,3	8,8	1008,3	977,1	13	2	6,7	28	13	0	0	0	0	c_som_3_1
Formosa_Aero	Formosa	10320	Verano	20,3	18,7	1009,2	1002,3	11,7	2,6	4,6	25	18	0	1	0	0	c_som_3_2
San_Rafael_Aero	Mendoza	10320	Verano	18,9	10,5	1009,9	925,9	20	3,4	6,7	27,7	10,8	0	0	0	0	c_som_3_1
Laboulaye_Aero	Cordoba_S	10320	Verano	17,5	12,7	1012,3	996,2	7,6	0,3	2,1	25,4	10,8	1	0	0	0	c_som_3_2
Esquel_Aero	Chubut	10320	Verano	12,2	2,6	1005,5	915,2	29,9	5,6	9,8	15,8	8,3	0	0	0	0	c_som_2_1
Dolores_Aero	Buenos_Aires_E	10320	Verano	19,1	16,9	1015,9	1014,8	9,2	3,9	6,2	21,4	15	0	1	0	0	c_som_3_2
Aeroparque_B_Aires_Aero	Buenos_Aires_NE	10320	Verano	19,8	17,1	1013	1012,3	9,2	6,3	10,8	23,2	18,8	0	1	0	0	c_som_3_2
Rio_Gallegos_Aero	Santa_Cruz_S	10320	Verano	11,8	4,3	995,3	993,1	16,4	4,1	8,7	20,4	8	0	1	0	0	c_som_2_2
Villa_Reynolds_Aero	San_Luis	10320	Verano	16,5	11,1	1012,5	956,4	12,9	2,2	7,7	26,1	6,7	0	0	0	0	c_som_3_1
Ushuaia_Aero_II	Ushuaia	10320	Verano	12	4,1	991,1	984,4	18	5,9	9,3	20,1	9	0	0	0	0	c_som_1_2
Reconquista_Aero	Santa_Fe	10320	Verano	20,1	18,3	1009,7	1003,5	9,2	1,8	3,6	22,9	17,9	0	1	0	0	c_som_3_2
Santa_Rosa_Aero	La_Pampa	10320	Verano	17,3	12,6	1013	990,5	23,2	3,7	5,1	24,9	10	1	0	0	0	c_som_1_1
Santiago_Del_Estero_Aero	Santiago_Del_Estero	10320	Verano	21,2	13,3	1011,8	988,7	13,5	1,3	3,6	28,9	12,5	0	0	0	0	c_som_3_2
San_Martin_Mza	Mendoza	10320	Verano	18,8	10,7	1010,3	936,6	15	1,5	2,1	26,9	11,4	0	0	0	0	c_som_3_1
Presidencia_R_S_Penia_Aero	Chaco	10320	Verano	19,2	17,3	1010,5	999,7	20	3,3	4,6	23,2	16,7	0	0	0	0	c_som_3_2
Gualeguaychu_Aero	Entre_Rios	10320	Verano	18,7	17,3	1011	1008,3	8,2	1,5	2,6	22	17,4	0	1	0	0	c_som_3_2
Azul_Aero	Buenos_Aires_C	10320	Verano	18	15,2	1015,1	997,7	14,2	4	6,2	24,1	12,1	0	0	0	0	c_som_3_2
San_Juan_Aero_II	San_Juan	10320	Verano	20,3	9,5	1009,8	942,4	15	2,1	3,6	28,5	12,2	0	0	0	0	c_som_3_1
La_Plata	Buenos_Aires_NE	10320	Verano	19,2	16,8	1013,3	1010,6	9,7	5,9	7,2	22,7	15,6	0	1	0	0	c_som_3_2
Catamarca_Aero_II	Catamarca	10320	Verano	21,7	12,2	1008,8	957,3	20	3	4,6	29,3	14,1	0	0	0	0	c_som_3_1
Oran_Aero	Salta	10320	Verano	20,9	16,7	1009,9	969,4	10	1,8	4,1	26,1	17,3	0	0	0	0	c_som_3_2
Comodoro_Rivadavia_Aero	Chubut	10320	Verano	19,4	4,4	999,9	994,6	14,5	6,9	12,9	28,2	16	0	0	0	0	c_som_1_2
Rosario_Aero	Santa_Fe	10320	Verano	20,3	17,3	1011,5	1008,6	9,8	2,2	4,1	25	16,9	0	1	0	0	c_som_3_2
Rio_Cuarto_Aero	Cordoba_S	10320	Verano	17,4	12	1012,1	963,4	12,4	2,8	5,1	23,4	10	0	0	0	0	c_som_3_1
Paso_De_Los_Libres_Aero	Corrientes	10320	Verano	21,2	18,3	1008,7	1003	11,1	3,7	6,2	24	16,8	0	1	0	0	c_som_3_2
Trelew_Aero	Chubut	10320	Verano	22,3	6,6	1003,9	998,9	28,6	7,6	11,3	29,5	16	0	0	0	0	c_som_1_1
Tucuman_Aero_II	Tucuman	10320	Verano	19,4	14,3	1011,4	960,2	11,7	2,3	4,1	26	13,8	0	0	0	0	c_som_3_1
Junin_Aero	Buenos_Aires_N	10320	Verano	19,4	15,8	1012,1	1002,6	8,5	2,8	5,7	24,8	12,9	1	1	0	0	c_som_3_2
Villa_Dolores_Aero	Cordoba_O	10320	Verano	18,9	11,2	1011,5	946,8	29,9	1,5	3,1	25,7	11,3	0	0	0	0	c_som_3_1
San_Julian_Aero	Santa_Cruz_E	10320	Verano	13,2	5,5	998	990,7	23,3	2,9	5,1	28	0,3	0	1	0	0	c_som_1_1
La_Rioja_Aero	La_Rioja	10320	Verano	23,7	13,7	1008,8	960,2	20	1,7	2,1	28	12,5	0	0	0	0	c_som_3_1
Mar_Del_Plata_Aero	Buenos_Aires_E	10320	Verano	18,6	16,4	1017	1014,5	7,1	6,6	12,3	21,6	16	0	1	0	0	c_som_3_2
Iguazu_Aero	Misiones	10320	Verano	20,6	19,6	1009,8	978,8	12,7	2,5	6,2	26	19	0	1	0	0	c_som_3_2
Monte_Caseros_Aero	Corrientes	10320	Verano	19,3	17,8	1010,2	1003,7	12,7	1,8	3,1	22,6	17	0	1	0	0	c_som_3_2
Ceres_Aero	Santa_Fe	10320	Verano	19,5	15,7	1011,8	1001,4	13	3,4	5,7	24,1	16,4	0	0	0	0	c_som_3_2
Junin_Aero	Buenos_Aires_N	10321	Otonio	19,6	14,3	1010,6	1001,1	9,7	3,8	7,2	26,4	13,8	1	0	0	0	c_som_3_2
Azul_Aero	Buenos_Aires_C	10321	Otonio	17,1	11,7	1011,7	994,4	10,8	3,3	7,2	25,1	11	1	0	0	0	c_som_3_2
Oran_Aero	Salta	10321	Otonio	21,8	17,2	1008,8	968,5	10	2,6	4,1	29,8	15	0	0	0	0	c_som_3_2
Dolores_Aero	Buenos_Aires_E	10321	Otonio	20	15,5	1009,4	1008,4	9,7	4,9	10,8	25,3	16,7	0	1	0	0	c_som_3_2
Aeroparque_B_Aires_Aero	Buenos_Aires_NE	10321	Otonio	21,4	16,2	1009	1008,2	9,7	5,5	8,7	28	17,7	0	1	0	0	c_som_3_2
Viedma_Aero	Rio_Negro_E	10321	Otonio	17,4	6,7	1012,4	1011,6	29,9	7,1	10,3	27,7	12,3	0	0	0	0	c_som_1_1
Rosario_Aero	Santa_Fe	10321	Otonio	20,3	15,8	1011,1	1008,1	9,3	2,9	4,6	28	14,3	1	0	0	0	c_som_3_2
Resistencia_Aero	Chaco	10321	Otonio	21,1	17,6	1011,2	1005,1	11,3	1,1	2,6	27,1	14,5	1	0	0	0	c_som_3_2
Comodoro_Rivadavia_Aero	Chubut	10321	Otonio	14,3	0,9	1008,7	1003,2	15,3	8,7	14,9	21,3	8	0	0	0	0	c_som_1_2
La_Rioja_Aero	La_Rioja	10321	Otonio	25,2	14,1	1010,2	961,8	20	3,5	4,1	31,3	16	0	0	0	0	c_som_3_1
Mar_Del_Plata_Aero	Buenos_Aires_E	10321	Otonio	18,4	15,3	1010,8	1008,3	8,2	3,5	7,2	22,2	15	0	1	0	0	c_som_3_2
Laboulaye_Aero	Cordoba_S	10321	Otonio	19,4	13,2	1012,2	996,1	9	0,9	3,1	27	12,1	0	0	0	0	c_som_3_2
Rio_Gallegos_Aero	Santa_Cruz_S	10321	Otonio	10,6	1,6	997,8	995,5	17,2	7,8	12,3	20	4	0	0	0	0	c_som_1_2
San_Julian_Aero	Santa_Cruz_E	10321	Otonio	12,3	3,8	1002,6	995,1	27,5	7,8	11,8	18	4,2	0	0	0	0	c_som_1_1
Pilar	Cordoba_C	10321	Otonio	18,9	14,2	1013,4	974,3	16,3	2,2	6,7	26,1	11,2	0	0	0	0	c_som_3_1
Trelew_Aero	Chubut	10321	Otonio	15,4	4,1	1012,9	1007,8	29,9	6	8,7	21	10	0	0	0	0	c_som_1_1
Tartagal_Aero	Salta	10321	Otonio	27,3	14,9	1009,6	959,4	10	1	2,1	30,2	15,8	0	0	0	0	c_som_3_1
San_Juan_Aero_II	San_Juan	10321	Otonio	20,7	8,3	1011,2	943,9	16,3	4,8	10,3	29,5	13,6	0	0	0	0	c_som_3_1
Paso_De_Los_Libres_Aero	Corrientes	10321	Otonio	20,4	17,3	1010,2	1002	11,3	4,7	10,3	25	15,9	0	0	0	0	c_som_3_2
Corrientes_Aero	Corrientes	10321	Otonio	21,5	17,7	1011,1	1003,9	9,5	1,5	3,6	27	15,8	1	0	0	0	c_som_3_2
Posadas_Aero	Misiones	10321	Otonio	22,8	17,9	1011	996,5	14	2,7	5,1	27	19,3	0	0	0	0	c_som_3_2
Concordia_Aero	Entre_Rios	10321	Otonio	20,5	17	1008,7	1004,9	14	3,5	6,2	25,2	17,5	0	1	0	0	c_som_3_2
Monte_Caseros_Aero	Corrientes	10321	Otonio	19,7	17,3	1010	1003,7	17,1	3,6	5,1	24,6	16,8	0	0	0	0	c_som_3_2
Formosa_Aero	Formosa	10321	Otonio	22,3	18,1	1011	1004,1	13,4	1,7	5,1	28,2	16	0	0	0	0	c_som_3_2
San_Martin_Mza	Mendoza	10321	Otonio	19,2	9,3	1012,2	938,5	15	2,8	5,1	28,6	13,5	0	0	0	0	c_som_3_1
General_Pico_Aero	La_Pampa	10321	Otonio	19	11,7	1013	996,1	18,2	4,4	9,3	26	12,4	0	0	0	0	c_som_3_2
Chamical_Aero	La_Rioja	10321	Otonio	23,3	11,6	1012,7	960,3	23,3	0,7	2,1	29,8	14,5	0	0	0	0	c_som_3_1
Villa_Dolores_Aero	Cordoba_O	10321	Otonio	20,6	11,6	1011,6	947,2	27,5	2,4	5,1	28,2	12,2	0	0	0	0	c_som_3_1
Sauce_Viejo_Aero	Santa_Fe	10321	Otonio	20,3	15,9	1011,5	1009,4	9,5	2,3	4,1	26,1	13,6	0	0	0	0	c_som_3_2
San_Luis_Aero	San_Luis	10321	Otonio	19,7	11,8	1011,8	931,9	20	4,6	6,7	27	13,5	0	0	0	0	c_som_3_1
Cordoba_Aero	Cordoba_C	10321	Otonio	18,2	12,7	1012,9	956	11,1	2,1	3,6	26,1	9,9	0	0	0	0	c_som_3_1
Gualeguaychu_Aero	Entre_Rios	10321	Otonio	21,2	16,8	1009,6	1007	15	6,2	7,2	25,5	17,5	0	1	0	0	c_som_3_2
San_Rafael_Aero	Mendoza	10321	Otonio	17,1	6,8	1013,8	929,5	20	2,6	4,6	29	12,3	0	0	0	0	c_som_3_1
Rio_Cuarto_Aero	Cordoba_S	10321	Otonio	18,3	13,3	1012,6	964,1	11,9	3,6	6,7	25	11,9	0	0	0	0	c_som_3_1
Reconquista_Aero	Santa_Fe	10321	Otonio	21,6	18	1011,4	1005,2	11,4	2,6	4,6	27,5	15,9	0	0	0	0	c_som_3_2
Tandil_Aero	Buenos_Aires_C	10321	Otonio	17,5	12,5	1011,1	990,6	17,5	3,9	8,7	24,1	12,5	0	0	0	0	c_som_3_2
Ceres_Aero	Santa_Fe	10321	Otonio	21,5	16,1	1012,4	1002,1	12,6	2	3,6	28	15,4	0	0	0	0	c_som_3_2
Presidencia_R_S_Penia_Aero	Chaco	10321	Otonio	19	14,6	1011,8	1000,9	14,2	1,6	3,1	27	11,1	1	0	0	0	c_som_3_2
Santiago_Del_Estero_Aero	Santiago_Del_Estero	10321	Otonio	22,6	14,2	1011,9	989	14,6	1,3	3,6	31,2	12	0	0	0	0	c_som_3_2
Mendoza_Aero	Mendoza	10321	Otonio	19,4	8,7	1011,6	933	11,7	2,1	5,7	28,4	14,6	0	0	0	0	c_som_3_1
Ezeiza_Aero	Buenos_Aires_NE	10321	Otonio	20,6	16,4	1009,2	1006,8	9,8	4,9	7,7	27	17	0	1	0	0	c_som_3_2
Neuquen_Aero	Neuquen_E	10321	Otonio	16,2	1	1016,5	984,6	11,7	3,6	7,2	28,6	10	0	0	0	0	c_som_2_2
Marcos_Juarez_Aero	Cordoba_E	10321	Otonio	20,2	15,4	1012,8	999,4	18,2	2,5	4,1	28,1	12	1	0	0	0	c_som_3_2
Villa_Reynolds_Aero	San_Luis	10321	Otonio	16,6	11,4	1013,9	957,8	13,2	3,2	6,7	26,3	7,8	0	0	0	0	c_som_3_1
Ushuaia_Aero_II	Ushuaia	10321	Otonio	9,6	2,6	990,3	983,5	16,4	6,8	13,4	13,3	5,5	0	1	0	0	c_som_1_2
Esquel_Aero	Chubut	10321	Otonio	7,8	-0,7	1017,1	924	29,9	4,7	6,7	13,6	3,4	0	0	0	0	c_som_2_1
Tucuman_Aero_II	Tucuman	10321	Otonio	21,7	15,8	1010,6	959,9	11,9	2,5	6,2	28,3	15,5	0	0	0	0	c_som_3_1
