Nombre Estacion	Provincia	Fecha	Temperatura media diaria	Temperatura de rocio	 Presion reducida al nivel medio del mar (hpa)	Presion al nivel de la estacion (hpa)	Visibilidad en km	 Viento medio (m/s)	Máximo viento sostenido (m/s)	 Temperatura Máxima (Celsisus)	Temperatura Minima (Celsisus)	Neblina	Lluvia	Nieve o agua nieve	Granizo	random
Presidencia_R_S_Penia_Aero	Chaco	10510	23,1	14,2	1009,8	999,2	20	5,6	9,3	31,5	14,5	0	0	0	0	0,614257008
Presidencia_R_S_Penia_Aero	Chaco	10406	21,3	17,9	1011,9	998,6	18,5	2,2	3,1	28,6	15,4	0	0	0	0	0,660243977
La_Plata	Buenos_Aires	10918	11,2	0,1	1017,3	1014,4	10	4,7	8,8	16,5	2,9	0	0	0	0	0,066244654
Iguazu_Aero	Misiones	11026	24,3	21	1011,3	980,6	9,5	4,3	12,4	30	20	0	1	0	0	0,401716432
General_Pico_Aero	La_Pampa	10131	26,5	18,8	1008,1	991,7	20	4,8	9,3	33,5	21	0	0	0	0	0,233272256
Ceres_Aero	Santa_Fe	10103	22	12,4	1015,6	1005,3	13,8	4,4	8,2	30	14	0	0	0	0	0,066930098
Ushuaia_Aero_II	Ushuaia	10926	2,3	-2,8	1015,6	1008,4	17,1	7,6	11,8	7,1	-1,5	0	0	0	0	0,471098297
Neuquen_Aero	Neuquen	10525	9,1	4,6	1014	981,5	11,4	1,2	3,1	18	1,6	0	0	0	0	0,683600077
Ezeiza_Aero	Buenos_Aires	10708	6,6	2,4	1031,4	1029	9,8	2,8	5,1	13	-1	0	0	0	0	0,566568039
Santiago_Del_Estero_Aero	Santiago_del_Estero	10814	6,2	-2,9	1033,7	1008,9	10,9	1,6	3,6	16,4	-3,9	0	0	0	0	0,067943983
Comodoro_Rivadavia_Aero	Chubut	10718	1,8	-7,6	1024,2	1018,4	16,6	5,2	10,3	9	-3,7	0	0	0	0	0,723485775
Corrientes_Aero	Entre_Rios	10109	28	22,5	1011,2	1004,1	10,5	3,4	6,2	32,3	24,3	0	0	0	0	0,788430524
Concordia_Aero	Entre_Rios	10923	11,1	5,6	1027,1	1022,5	15	6,2	7,2	14,9	8	0	1	0	0	0,940634956
San_Rafael_Aero	Mendoza	10325	15,8	7,9	1015,5	930,7	20	2,4	4,1	30	8,4	0	0	0	0	0,787508809
La_Rioja_Aero	La_Rioja	10214	27,8	18,9	1006,3	959	15,4	3,8	8,2	41,1	20	0	1	0	0	0,971885896
General_Pico_Aero	La_Pampa	10922	7,6	-1	1023,7	1006	20	3,3	5,7	17,4	-0,4	0	0	0	0	0,853203555
San_Rafael_Aero	Mendoza	10523	12,2	4,6	1017,1	930,6	20	2	3,6	21,5	4,6	0	0	0	0	0,221241002
Iguazu_Aero	Misiones	10225	24,6	22,9	1009,3	978,6	13,2	2,6	5,7	32,6	22	0	1	0	0	0,551967463
Ezeiza_Aero	Buenos_Aires	11104	15,9	10,7	1019,3	1016,9	10	3,2	5,1	23,2	8,9	0	0	0	0	0,374949133
Azul_Aero	Buenos_Aires	10304	14,6	10,2	1018	1000,4	15	2,4	3,6	20,6	8,2	0	0	0	0	0,346303092
Neuquen_Aero	Neuquen	10603	15	4,7	1016	983,9	13,5	2,5	4,1	23	8	0	0	0	0	0,873351884
Neuquen_Aero	Neuquen	11104	23,5	6,3	1011,8	980,8	14,5	3,3	5,1	31	14,9	0	0	0	0	0,744188423
Tucuman_Aero_II	Tucuman	10513	18,8	15,2	1011,8	960,7	9	1,2	3,1	25,5	14,5	0	0	0	0	0,025797181
Ezeiza_Aero	Buenos_Aires	10119	20,8	16	1018,2	1015,9	10,3	5,8	9,3	28,6	17,4	0	1	0	0	0,154773609
Dolores_Aero	Buenos_Aires	10626	5,7	3,6	1016,7	1015,6	4,3	1,8	5,1	15	-2	1	0	0	0	0,682536421
Trelew_Aero	Chubut	10124	14,7	10,8	1011,3	1006,2	22,5	4,6	8,7	27,5	12,6	0	1	0	0	0,575926531
Rio_Cuarto_Aero	Cordoba	10106	24,2	14,6	1005,7	958,6	12,2	4,7	10,3	31,7	19,5	0	0	0	0	0,857072369
San_Luis_Aero	San_Luis	10926	16,2	-1,6	1011,9	930,7	20	4,1	7,7	23,2	8,1	0	0	0	0	0,741376395
Iguazu_Aero	Misiones	10913	24,7	15,6	1011,5	980,8	18	2,9	5,7	34	16,9	0	0	0	0	0,589059105
Ceres_Aero	Santa_Fe	10308	25,4	20,3	1010	999,9	13,2	3,9	5,7	33	21,6	0	1	0	0	0,715336266
Tartagal_Aero	Salta	10227	22,3	16,6	1012,8	962,3	10	1,8	5,1	26,2	19,6	0	0	0	0	0,084760385
Tandil_Aero	Buenos_Aires	10309	21,7	16,5	1008,5	988,4	17,5	2,2	5,1	27,9	14,2	0	0	0	0	0,713218304
Pilar	Cordoba	10812	11,3	-0,7	1016,7	976,5	13,5	5,1	7,2	23,7	3,4	0	0	0	0	0,730576328
Pilar	Cordoba	11110	17,1	15,7	1006	967	8,7	4,4	7,7	19,9	13,6	0	1	0	0	0,059287724
Trelew_Aero	Chubut	10330	16,2	12,1	1016	1010,9	23,2	4,2	8,7	23	13,6	0	0	0	0	0,337220995
San_Luis_Aero	San_Luis	10531	17,2	4,5	1003,2	923,2	20	5,6	10,3	22,7	13,6	0	0	0	0	0,149737698
Formosa_Aero	Formosa	10618	18	17,1	1013,4	1006,3	11,3	3,1	5,1	22	15,6	0	1	0	0	0,02957097
Villa_Reynolds_Aero	San_Luis	10403	14,2	10,6	1019,7	962,5	14,6	4,1	7,7	21	9,8	0	0	0	0	0,104204183
